îNåéì˙,ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨ÇÃïóå¸,ç≈ëΩïóå¸(16ï˚à ),ì˙è∆éûä‘(éûä‘),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm)
1978/10/02,0,0,13.2,23.5,6,,,ìå,10.1,,
1978/10/03,0,0,12.4,22.5,3.6,,,ìåñkìå,9.8,,
1978/10/04,0,0,12.9,18.6,7,,,ñkñkìå,3.7,,
1978/10/05,0,0,12,17.4,7.5,,,ñkñkìå,7.6,,
1978/10/06,1,1,11.5,17.3,7.7,,,êºìÏêº,6.2,,
1978/10/07,1,1,7.6,12.5,0.9,,,ìÏêº,5.9,,
1978/10/08,0,0,6.4,16.9,-0.8,,,ìåñkìå,9.9,,
1978/10/09,0,0,10.9,17.8,-0.8,,,ìÏìÏìå,8.3,,
1978/10/10,2,2,14,17.7,9.2,,,ìÏêº,0,,
1978/10/11,0,0,10.7,15.9,6.2,,,ìÏêº,1.8,,
1978/10/12,14,2,9.4,11,6.6,,,ñk,1,,
1978/10/13,16,6,7.5,10.1,4.8,,,êºìÏêº,5.3,,
1978/10/14,0,0,8,13.1,3,,,êº,7.3,,
1978/10/15,0,0,9.9,16,0.4,,,ìåìÏìå,7.8,,
1978/10/16,12,3,11,15.5,8.8,,,ìåñkìå,1.5,,
1978/10/17,0,0,9.2,13,1.2,,,êºìÏêº,8.1,,
1978/10/18,0,0,6.7,15.4,-1.1,,,ìå,9.8,,
1978/10/19,0,0,10.3,17.6,3.6,,,ìå,8,,
1978/10/20,0,0,11.7,18,7.8,,,ñkìå,5.6,,
1978/10/21,25,4,9.2,11.6,5.7,,,ñk,0.6,,
1978/10/22,4,1,7.9,11,6.1,,,ìÏìÏêº,1.9,,
1978/10/23,0,0,7.4,13.7,1.5,,,ñkìå,8.5,,
1978/10/24,0,0,7.7,14.3,1.8,,,ìÏìå,2.3,,
1978/10/25,1,1,13.1,19.5,7.6,,,ìÏêº,4.8,,
1978/10/26,0,0,10.2,17.3,3.9,,,ìåñkìå,9.5,,
1978/10/27,1,1,9.5,12,6.4,,,ñkìå,0.2,,
1978/10/28,1,1,9.2,11.3,7.4,,,ñkìå,0,,
1978/10/29,1,1,9.7,12.9,7.2,,,ìÏêº,0,,
1978/10/30,,,6.6,11.2,0.7,,,ìÏêº,2.3,,
1978/10/31,,,5.1,13.1,-1.3,,,ìåñkìå,8.3,,
1978/11/01,0,0,6,9.8,2.1,,,ñkñkêº,0.5,,
1978/11/02,0,0,4.4,8,0.3,,,êºñkêº,2.4,,
1978/11/03,8,3,2.1,3.9,-0.7,,,ñkìå,0.4,,
1978/11/04,0,0,2.1,8.2,-1.9,,,ìå,7.2,,
1978/11/05,0,0,3.1,11.6,-1.6,,,ìå,9.1,,
1978/11/06,0,0,3.9,12.5,-1.5,,,ñkñkìå,7.6,,
1978/11/07,0,0,7.9,14.5,1,,,ñkêº,8.5,,
1978/11/08,0,0,4.6,13.3,-1.2,,,ìå,8.9,,
1978/11/09,48,10,4.8,11.2,0.3,,,êº,1,,
1978/11/10,0,0,3.8,9.1,-1.1,,,ìåñkìå,5,,
1978/11/11,1,1,5.4,10,-1.2,,,ñkìå,0.3,,
1978/11/12,0,0,4.6,7.5,-0.7,,,ñkêº,5.7,,
1978/11/13,16,3,3.5,5.8,-0.2,,,ìå,0,,
1978/11/14,4,1,6.4,9.2,3.3,,,ìåñkìå,0,,
1978/11/15,32,6,7.4,12.5,3.8,,,êº,1.6,,
1978/11/16,1,1,6,7.3,3,,,ìÏìå,0.2,,
1978/11/17,3,1,2.8,5,0.4,,,êºñkêº,0,,
1978/11/18,0,0,4.4,8.2,2.9,,,ìåñkìå,1.8,,
1978/11/19,26,6,9,12.4,4.7,,,êºñkêº,0.6,,
1978/11/20,30,4,4.1,5,3.3,,,êº,2,,
1978/11/21,3,1,4,4.9,2.5,,,êº,0,,
